"DateTime","Players","Players Trend","Twitch Viewers"
"2021-12-04 06:10:00",6364,5642.4690684735315,1557
"2021-12-04 06:20:00",6523,5644.037920729356,3306
"2021-12-04 06:30:00",6653,5645.953048394206,3320
"2021-12-04 06:40:00",6754,5648.6925645898755,3354
"2021-12-04 06:50:00",6872,5652.6452824602,3450
"2021-12-04 07:00:00",7042,5656.657880240181,3582
"2021-12-04 07:10:00",7147,5659.916811270864,3333
"2021-12-04 07:20:00",7258,5662.522200187298,3881
"2021-12-04 07:30:00",7393,5665.106308185975,3821
"2021-12-04 07:40:00",7447,5667.951450862117,3881
"2021-12-04 07:50:00",7453,5671.7535255880575,2472
"2021-12-04 08:00:00",7365,5675.88332162728,2218
"2021-12-04 08:10:00",7358,5680.074560678678,2247
"2021-12-04 08:20:00",7333,5683.9200338786995,2161
"2021-12-04 08:30:00",7287,5687.7185726877115,2212
"2021-12-04 08:40:00",7218,5691.855691896657,2250
"2021-12-04 08:50:00",7197,5695.882350713382,1890
"2021-12-04 09:00:00",7128,5699.6653411281895,1988
"2021-12-04 09:10:00",7085,5703.657381011403,1998
"2021-12-04 09:20:00",6992,5707.51899135129,1899
"2021-12-04 09:30:00",6904,5711.330868176058,1843
"2021-12-04 09:40:00",6889,5714.612030380653,2216
"2021-12-04 09:50:00",6827,5716.3806671073635,2264
"2021-12-04 10:00:00",6729,5718.692654106758,2381
"2021-12-04 10:10:00",6719,5721.20459083898,2614
"2021-12-04 10:20:00",6819,5723.995809921225,2642
"2021-12-04 10:30:00",6941,5727.193797168512,2648
"2021-12-04 10:40:00",7158,5730.83065471272,2763
"2021-12-04 10:50:00",7333,5733.592598330855,2555
"2021-12-04 11:00:00",7597,5736.065533245193,2509
"2021-12-04 11:10:00",7801,5737.953203327274,2519
"2021-12-04 11:20:00",8007,5739.83994381094,2636
"2021-12-04 11:30:00",8086,5740.759213353165,2776
"2021-12-04 11:40:00",8222,5741.772919765329,2088
"2021-12-04 11:50:00",8366,5743.373316393984,2018
"2021-12-04 12:00:00",8557,5744.782284608605,2133
"2021-12-04 12:10:00",8710,5745.434163774583,2154
"2021-12-04 12:20:00",8860,5746.525422795132,2084
"2021-12-04 12:30:00",9153,5747.854414559579,2139
"2021-12-04 12:40:00",9352,5747.603037376743,2089
"2021-12-04 12:50:00",9458,5746.547423290917,1144
"2021-12-04 13:00:00",9405,5745.294978791385,1156
"2021-12-04 13:10:00",9506,5744.080031537487,1100
"2021-12-04 13:20:00",9604,5742.137036577976,1331
"2021-12-04 13:30:00",9616,5739.478505618906,1433
"2021-12-04 13:40:00",9754,5736.233274114473,1584
"2021-12-04 13:50:00",9899,5732.181908637692,1612
"2021-12-04 14:00:00",9864,5727.795202583594,1559
"2021-12-04 14:10:00",9922,5722.82560733763,1479
"2021-12-04 14:20:00",9929,5716.462664573347,1547
"2021-12-04 14:30:00",9945,5709.864023852806,1561
"2021-12-04 14:40:00",9932,5702.655277364622,1932
"2021-12-04 14:50:00",9852,5694.826653996585,1574
"2021-12-04 15:00:00",9655,5685.650336721204,1554
"2021-12-04 15:10:00",9463,5675.569230981107,1397
"2021-12-04 15:20:00",9212,5664.752120861566,1390
"2021-12-04 15:30:00",9145,5653.510611193744,1344
"2021-12-04 15:40:00",8926,5640.85228336914,1354
"2021-12-04 15:50:00",8698,5628.223268881177,1368
"2021-12-04 16:00:00",8459,5615.510986476066,1660
"2021-12-04 16:10:00",8231,5601.7149231531985,1555
"2021-12-04 16:20:00",7970,5586.991003553132,1542
"2021-12-04 16:30:00",7754,5572.434614801961,1413
"2021-12-04 16:40:00",7499,5558.144263344902,1511
"2021-12-04 16:50:00",7268,5543.854896573569,1419
"2021-12-04 17:00:00",6948,5529.657291494519,1487
"2021-12-04 17:10:00",6681,5516.252206935493,1433
"2021-12-04 17:20:00",6481,5503.300163884756,1340
"2021-12-04 17:30:00",6256,5490.5686732220565,1378
"2021-12-04 17:40:00",6053,5477.766247314493,1244
"2021-12-04 17:50:00",5872,5465.249896711288,1176
"2021-12-04 18:00:00",5545,5453.224542775299,1130
"2021-12-04 18:10:00",5251,5442.286546989477,1126
"2021-12-04 18:20:00",5097,5431.922974164048,900
"2021-12-04 18:30:00",4878,5421.835182201288,977
"2021-12-04 18:40:00",4739,5412.3672636754245,930
"2021-12-04 18:50:00",4499,5403.128349997245,819
"2021-12-04 19:00:00",4274,5394.409253980058,742
"2021-12-04 19:10:00",4002,5386.263806257918,784
"2021-12-04 19:20:00",3771,5378.764945876715,701
"2021-12-04 19:30:00",3554,5372.201581694487,615
"2021-12-04 19:40:00",3391,5366.23392827632,566
"2021-12-04 19:50:00",3208,5360.725579105382,566
"2021-12-04 20:00:00",3056,5355.994918195341,523
"2021-12-04 20:10:00",2973,5351.808120558586,543
"2021-12-04 20:20:00",2854,5347.70755866799,513
"2021-12-04 20:30:00",2743,5344.062076516279,526
"2021-12-04 20:40:00",2673,5340.928321076407,527
"2021-12-04 20:50:00",2557,5338.054987467638,523
"2021-12-04 21:00:00",2477,5335.812024871924,484
"2021-12-04 21:10:00",2416,5334.0415805927405,471
"2021-12-04 21:20:00",2381,5332.269029223821,568
"2021-12-04 21:30:00",2370,5330.550955764888,591
"2021-12-04 21:40:00",2336,5328.59522875007,597
"2021-12-04 21:50:00",2313,5326.602772269049,641
"2021-12-04 22:00:00",2244,5324.552429350522,660
"2021-12-04 22:10:00",2189,5322.651693246296,690
"2021-12-04 22:20:00",2178,5321.235374318296,696
"2021-12-04 22:30:00",2174,5319.664163636865,620
"2021-12-04 22:40:00",2146,5317.764377788795,598
"2021-12-04 22:50:00",2123,5315.746911667494,546
"2021-12-04 23:00:00",2110,5313.652443810941,611
"2021-12-04 23:10:00",2057,5311.593713848952,638
"2021-12-04 23:20:00",2041,5309.8642751886755,602
"2021-12-04 23:30:00",2039,5308.258097835069,661
"2021-12-04 23:40:00",2035,5306.761482261885,683
"2021-12-04 23:50:00",2091,5305.258927587727,667
"2021-12-05 00:00:00",2119,5303.379448300558,630
"2021-12-05 00:10:00",2151,5301.330923263372,699
"2021-12-05 00:20:00",2178,5299.257233652839,752
"2021-12-05 00:30:00",2250,5297.164996832478,797
"2021-12-05 00:40:00",2292,5294.7091871866905,801
"2021-12-05 00:50:00",2378,5292.406472070732,849
"2021-12-05 01:00:00",2454,5289.802388035036,848
"2021-12-05 01:10:00",2550,5286.97496625902,883
"2021-12-05 01:20:00",2625,5283.898174544152,944
"2021-12-05 01:30:00",2731,5280.781454855947,917
"2021-12-05 01:40:00",2895,5277.7256135349535,924
"2021-12-05 01:50:00",3011,5273.983914504491,1060
"2021-12-05 02:00:00",3116,5269.651472897042,1002
"2021-12-05 02:10:00",3195,5264.774145458052,871
"2021-12-05 02:20:00",3264,5259.607365173802,888
"2021-12-05 02:30:00",3362,5254.521952294388,944
"2021-12-05 02:40:00",3380,5249.307283920014,970
"2021-12-05 02:50:00",3489,5244.431760590536,1100
"2021-12-05 03:00:00",3606,5239.327549165428,1027
"2021-12-05 03:10:00",3747,5234.055872307608,920
"2021-12-05 03:20:00",4054,5228.499989671129,935
"2021-12-05 03:30:00",4111,5221.466059329037,1037
"2021-12-05 03:40:00",4280,5214.349652949927,1060
"2021-12-05 03:50:00",4414,5206.636186167577,1023
"2021-12-05 04:00:00",4558,5198.388417203769,999
"2021-12-05 04:10:00",4732,5189.80741819534,1019
"2021-12-05 04:20:00",4944,5180.610987164657,1043
"2021-12-05 04:30:00",5040,5170.261416845701,1139
"2021-12-05 04:40:00",5266,5160.474656392884,1258
"2021-12-05 04:50:00",5439,5149.83352613893,1333
"2021-12-05 05:00:00",5527,5138.451368231146,1346
"2021-12-05 05:10:00",5642,5127.032918112707,1395
"2021-12-05 05:20:00",5846,5115.294341844323,1343
"2021-12-05 05:30:00",5974,5102.761461604143,1351
"2021-12-05 05:40:00",6120,5090.0604066820915,1344
"2021-12-05 05:50:00",6215,5076.940367983255,1369
"2021-12-05 06:00:00",6322,5063.520458051011,1408
"2021-12-05 06:10:00",6494,5050.147248388697,1386
"2021-12-05 06:20:00",6698,5036.154922740045,1366
"2021-12-05 06:30:00",6954,5021.692860684187,1365
"2021-12-05 06:40:00",7239,5006.4022923208295,1345
"2021-12-05 06:50:00",7357,4989.837729989535,1441
"2021-12-05 07:00:00",7406,4973.107193025946,1475
"2021-12-05 07:10:00",7406,4956.119663416515,1438
"2021-12-05 07:20:00",7510,4939.779420068308,1704
"2021-12-05 07:30:00",7685,4923.094932655759,1812
"2021-12-05 07:40:00",7890,4905.764136781799,1971
"2021-12-05 07:50:00",7955,4887.805803448466,2052
"2021-12-05 08:00:00",7881,4869.993850878642,2063
"2021-12-05 08:10:00",7821,4852.776049413319,2124
"2021-12-05 08:20:00",7796,4836.230326943204,2096
"2021-12-05 08:30:00",7810,4820.172044565636,1987
"2021-12-05 08:40:00",7722,4804.340656503056,2122
"2021-12-05 08:50:00",7668,4789.1496619016125,2037
"2021-12-05 09:00:00",7633,4774.604703767971,2039
"2021-12-05 09:10:00",7568,4760.345562716904,1948
"2021-12-05 09:20:00",7472,4746.5679846306375,1899
"2021-12-05 09:30:00",7307,4733.320115821075,1954
"2021-12-05 09:40:00",7068,4720.798146311903,2094
"2021-12-05 09:50:00",7100,4710.193253181291,1625
"2021-12-05 10:00:00",7049,4699.50288175508,1245
"2021-12-05 10:10:00",7085,4689.797165069134,1287
"2021-12-05 10:20:00",7252,4680.367253346554,1407
"2021-12-05 10:30:00",7432,4671.034154134302,1437
"2021-12-05 10:40:00",7512,4661.320157136561,1531
"2021-12-05 10:50:00",7631,4652.19528796893,1583
"2021-12-05 11:00:00",7802,4643.663354541948,2130
"2021-12-05 11:10:00",8005,4635.206949264584,1574
"2021-12-05 11:20:00",8071,4626.903431939622,1645
"2021-12-05 11:30:00",8168,4619.376466699719,1716
"2021-12-05 11:40:00",8401,4613.033882140693,1771
"2021-12-05 11:50:00",8511,4607.168598165592,1633
"2021-12-05 12:00:00",8593,4601.491000110174,1608
"2021-12-05 12:10:00",8817,4595.94837285848,1696
"2021-12-05 12:20:00",8994,4589.9920088966,1765
"2021-12-05 12:30:00",9043,4583.603292155565,1733
"2021-12-05 12:40:00",9113,4578.291749297635,1858
"2021-12-05 12:50:00",9200,4573.635690381753,1759
"2021-12-05 13:00:00",9166,4569.36483294772,1924
"2021-12-05 13:10:00",9158,4565.423259929486,1945
"2021-12-05 13:20:00",9150,4562.29260659395,1831
"2021-12-05 13:30:00",9078,4559.417644466479,1517
"2021-12-05 13:40:00",9084,4557.341689390183,1486
"2021-12-05 13:50:00",9184,4555.239702115352,1529
"2021-12-05 14:00:00",9048,4552.5433950311235,1669
"2021-12-05 14:10:00",8877,4549.909226436401,1608
"2021-12-05 14:20:00",8832,4547.3761155180955,1728
"2021-12-05 14:30:00",8752,4543.934941882885,1695
"2021-12-05 14:40:00",8645,4539.738176885363,1816
"2021-12-05 14:50:00",8343,4534.650773976753,1819
"2021-12-05 15:00:00",8006,4529.953967663747,1797
"2021-12-05 15:10:00",7705,4524.964155373767,1752
"2021-12-05 15:20:00",7368,4519.886155180961,1724
"2021-12-05 15:30:00",7089,4514.831215914724,1785
"2021-12-05 15:40:00",6884,4509.450263041921,1684
"2021-12-05 15:50:00",6635,4504.171689941057,1714
"2021-12-05 16:00:00",6220,4498.462905580345,1663
"2021-12-05 16:10:00",5845,4493.239557511155,1616
"2021-12-05 16:20:00",5595,4488.405914311683,1456
"2021-12-05 16:30:00",5426,4483.662387071007,1471
"2021-12-05 16:40:00",5161,4478.739282074588,1470
"2021-12-05 16:50:00",4940,4473.941307910538,1320
"2021-12-05 17:00:00",4746,4469.463094942985,1311
"2021-12-05 17:10:00",4549,4464.945260425274,1388
"2021-12-05 17:20:00",4384,4460.482069079491,1311
"2021-12-05 17:30:00",4147,4455.684773177987,1295
"2021-12-05 17:40:00",3976,4451.303544868617,1136
"2021-12-05 17:50:00",3878,4446.77589448025,1008
"2021-12-05 18:00:00",3728,4442.113173442406,899
"2021-12-05 18:10:00",3515,4437.458347105161,855
